judul,judul_id,Pasal,Content,Content_id,,,,,
PERMEN BUMN No 1701 Tahun 2015,2170115,PASAL 2,Pedoman Pengelolaan Sistem Pelaporan Dugaan Pelanggaran  Di Lingkungan Kementerian Badan Usaha Milik Negara  sebagaimana dimaksud dalam Pasal 1 menjadi kerangka  acuan untuk melakukan pelaporan adanya dugaan  pelanggaran pegawai Aparatur Sipil Negara di lingkungan  Kementerian Badan Usaha Milik Negara.,217011500002,,,,,
PERMEN BUMN No 1701 Tahun 2015,2170115,PASAL 3,Peraturan Menteri ini mulai berlaku pada tanggal  diundangkan.,217011500003,,,,,
PERMEN BUMN No 1702 Tahun 2015,2170215,PASAL 1,Ketentuan mengenai pedoman pelaksanaan pendelegasian  kewenangan dan tanggung jawab tertentu dari Pengelola  Barang kepa da Pengguna Barang di lingkungan Kementerian  Badan Usaha Milik Negara tercantum dalam Lampiran yang  merupakan bagian yang tidak terpisahkan dari Peraturan  Menteri Badan Usaha Milik Negara ini.,217021500001,,,,,
PERMEN BUMN No 1702 Tahun 2015,2170215,PASAL 2,Ketentuan mengenai pedoman pelaksanaan sebagaimana  dimaksud dalam Pasal 1 menjadi kerangka acuan untuk  melakukan pengelolaan Barang Milik Negara di lingkungan  Kementerian Badan Usaha Milik Negara yang telah  didelegasikan kepada Menteri Badan Usaha Milik Negara  berdasarkan Peraturan Menteri Keuangan Nomor  04/P MK.06/2015 tentang Pendelegasian Kewenangan dan  Tanggung Jawab Tertentu dari Pengelola Barang kepada   Pengguna Barang.,217021500002,,,,,
PERMEN BUMN No 1702 Tahun 2015,2170215,PASAL 3,"Tata Cara Pelaksanaan Penggunaan, Pemindahtanganan,  Pemusnahan dan Penghapusan Barang Milik Negara di  lingkungan Kementerian Bada n Usaha Milik Negara yang  kewenangan dan tanggung jawab pengelolaannya tidak  didelegasikan berdasarkan Peraturan Menteri Keuangan  Nomor 04/PMK.06/2015 tentang Pendelegasian Kewenangan  dan Tanggung Jawab Tertentu dari Pengelola Barang kepada    Pengguna Baran g, tidak mengacu pada Peraturan Menteri  Badan Usaha Milik Negara ini.",217021500003,,,,,
PERMEN BUMN No 1702 Tahun 2015,2170215,PASAL 4,Peraturan Menteri ini mulai berlaku pada tanggal  diundangkan.,217021500004,,,,,
PERMEN BUMN No 1760 Tahun 2014,2176014,PASAL 1,Penegakan Disiplin Pegawai Negeri Sipil (PNS) di Lingkungan Kementerian  Badan Usaha Milik Negara (BUMN) mengacu kepada Peraturan Pemerintah  Nomor 53 Tahun 2010 tentang Disiplin Pegawai Negeri Sipil dan Peraturan  Kepala Badan Kepegawaian Negara Nomor 21 Tahun 2010 tentang  Ketentuan Pelaksanaan Peraturan Pemerintah Nomor 53 Tahun 2010  tentang Disiplin Pegawai Negeri Sipil.,217601400001,,,,,
PERMEN BUMN No 1760 Tahun 2014,2176014,PASAL 2,"Dalam rangka meningkatkan penegakan disiplin PNS di Lingkungan  Kementerian BUMN sebagaimana diatur dalam Pasal 1, setiap PNS di  Lingkungan Kementerian BUMN yang melakukan pelanggaran disiplin  waktu kerja Pegawai Negeri Sipil diberi sanksi tambahan dikaitkan dengan  pemberian Tunjangan Kinerja Pegawai di Lingkungan Kementerian Badan  Usaha Milik Negara dan/atau peninjauan kembali penugasan PNS  Kementerian BUMN di BUMN sebagaimana ketentuan yang tercantum  dalam Lampiran yang merupakan bagian tidak terpisahkan dari Peraturan  Menteri ini.",217601400002,,,,,
PERMEN BUMN No 1760 Tahun 2014,2176014,PASAL 3,"Dengan berlakunya Peraturan Menteri ini, Peraturan Menteri Badan Usaha  Milik Negara Nomor : PER-03/MBU/2013 tanggal 25 Maret 2013 tentang  Penegakan Disiplin Pegawai Negeri Sipil   Di Lingkungan Kementerian Badan Usaha Milik Negara dicabut dan  dinyatakan tidak berlaku.",217601400003,,,,,
PERMEN BUMN No 1760 Tahun 2014,2176014,PASAL 4,Peraturan Menteri ini mulai berlaku pada tanggal diundangkan.,217601400004,,,,,
PERMEN BUMN No 311 Tahun 2018,2031118,PASAL 1,Prinsip  Tata Kelola Teknologi Informasi Kementerian Badan  Usaha Milik Negara  disusun  sebagai landasan  dalam  pengelolaan teknologi informasi Kemen terian Badan Usaha  Milik Negara.,203111800001,,,,,
PERMEN BUMN No 311 Tahun 2018,2031118,PASAL 2,Prinsip  Tata Kelola Teknologi Informasi  sebag aimana  dimaksud dalam Pasal 1 terdiri atas:   a. prinsip manajemen;   b. prinsip organisasi;   c. prinsip data dan informasi;   d. prinsip aplikasi;   e. prinsip teknologi;  dan  f. prinsip keamanan teknologi informasi .,203111800002,,,,,
PERMEN BUMN No 311 Tahun 2018,2031118,PASAL 3,Prinsip  Tata Kelola Teknologi Informasi sebagaimana  dimaksud dalam Pasal 2 tercantum dalam Lampiran yang  merupakan bagian tidak terpisahkan dari Peraturan Menteri  ini.,203111800003,,,,,
PERMEN BUMN No 311 Tahun 2018,2031118,PASAL 4,"(1) Prinsip Tata Kelola Teknologi Informasi sebagaimana  dimaksud dalam Pasal 2 sejajar dan sederajat, sehingga  dalam pengambilan keputusan perlu merujuk pada  prinsip tersebut .  (2) Dalam hal keputusan yang diambil mengutamakan salah  satu prinsip saja maka dasar pertimbangan yang diambil  harus demi kepentingan Kementerian Badan Us aha Milik  Negara, dan didokumentasikan.",203111800004,,,,,
