BAB,BAB_id,Label
BAB VII: PERLINDUNGAN HAK BERORGANISASI,100210007,BAB
BAB VIII: KEUANGAN DAN HARTA KEKAYAAN,100210008,BAB
BAB IX: PENYELESAIAN PERSELISIHAN,100210009,BAB
BAB X: PEMBUBARAN,100210010,BAB
BAB XI: PENGAWASAN DAN PENYIDIKAN,100210011,BAB
BAB XII: SANKSI,100210012,BAB
BAB XIII: KETENTUAN LAIN -LAIN,100210013,BAB
BAB XIV: KETENTUAN PERALIHAN,100210014,BAB
BAB XV: KETENTUAN PENUTUP,100210015,BAB
BAB I: KETENTUAN UMUM,100020401,BAB
BAB II: TATA CARA,100020402,BAB
BAB III: PENGADILAN HUBUNGAN INDUSTRIAL,100020403,BAB
BAB IV: PENYELESAIAN PERSELISIHAN,100020404,BAB
BAB V: SANKSI ADMINISTRASI DAN KETENTUAN PIDANA,100020405,BAB
BAB VI: KETENTUAN LAIN-LAIN,100020406,BAB
BAB VII: KETENTUAN PERALIHAN,100020407,BAB
BAB VIII: KETENTUAN PENUTUP,100020408,BAB
BAB I: KETENTUAN UMUM,100400401,BAB
"BAB II: ASAS, TUJUAN, DAN PRINSIP PENYELENGGARAAN",100400402,BAB
BAB III: BADAN PENYELENGGARA JAMINAN SOSIAL,100400403,BAB
BAB IV: DEWAN JAMINAN SOSIAL NASIONAL,100400404,BAB
BAB V: KEPESERTAAN DAN IURAN,100400405,BAB
BAB VI: PROGRAM JAMINAN SOSIAL,100400406,BAB
BAB VII: PENGELOLAAN DANA JAMINAN SOSIAL,100400407,BAB
BAB VIII: KETENTUAN PERALIHAN,100400408,BAB
BAB IX: KETENTUAN PENUTUP,100400409,BAB
"BAB IV: RENCANA KERJA, LAPORAN TAHUNAN,",100400704,BAB
BAB V: TANGGUNG JAWAB SOSIAL DAN LINGKUNGAN,100400705,BAB
BAB VI: RAPAT UMUM PEMEGANG SAHAM,100400706,BAB
BAB VII: DIREKSI DAN DEWAN KOMISARIS,100400707,BAB
"BAB VIII: PENGGABUNGAN, PELEBURAN,",100400708,BAB
