Start_id,End_id,Type
1004004,100400403,CONTAINS
1004004,100400404,CONTAINS
1004004,100400405,CONTAINS
1004004,100400406,CONTAINS
1004004,100400407,CONTAINS
1004004,100400408,CONTAINS
1004004,100400409,CONTAINS
1004007,100400704,CONTAINS
1004007,100400705,CONTAINS
1004007,100400706,CONTAINS
1004007,100400707,CONTAINS
1004007,100400708,CONTAINS
1004007,100400709,CONTAINS
1004007,100400710,CONTAINS
1004007,100400711,CONTAINS
1004007,100400712,CONTAINS
1004007,100400713,CONTAINS
1004007,100400714,CONTAINS
1000599,100059903,CONTAINS
1000599,100059904,CONTAINS
1000599,100059905,CONTAINS
1000599,100059906,CONTAINS
1000599,100059907,CONTAINS
1000599,100059908,CONTAINS
1000599,100059909,CONTAINS
1000599,100059910,CONTAINS
1000599,100059901,CONTAINS
1000899,100089902,CONTAINS
1000899,100089903,CONTAINS
1000899,100089904,CONTAINS
1000899,100089905,CONTAINS
1000899,100089906,CONTAINS
1000899,100089907,CONTAINS
1000899,100089908,CONTAINS
1000899,100089909,CONTAINS
1000899,100089910,CONTAINS
1000899,100089911,CONTAINS
1000899,100089912,CONTAINS
1000899,100089913,CONTAINS
1000899,100089914,CONTAINS
1000899,100089915,CONTAINS
1000899,100089901,CONTAINS
