judul,BAB,Pasal,Content
PP_No_34_Tahun_2021_cleaned.txt,BAB II: KEWAJIBAN DAN LARANGAN BAGI,PASAL 11,"(1) Pemberi Kerja TKA dilarang mempekerjakan TKA pada  jabatan  yang mengurusi personalia.   2021, No.44 -7-  (2) Jabatan yang mengurusi personalia sebagaimana  dimaksud pada ayat (1) ditetapkan oleh Menteri  setelah m endapat masukan dari kementerian/lembaga  terkait.     BAB III : PENGESAHAN RENCANA PENGGUNAAN TENAGA KERJA ASING     Bagian Kesatu   Tata Cara Permohonan   Pengesahan Rencana Penggunaan Tenaga Kerja Asing"
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 12,"(1) Untuk mendapatkan Pengesahan RPTKA, Pemberi  Kerja TK A harus mengajukan permohonan secara  daring  kepada Menteri atau pejabat yang ditunjuk.   (2) Permohonan Pengesahan RPTKA sebagaimana  dimaksud pada ayat ( 1) disampaikan oleh Pemberi  Kerja TKA yang memuat  paling sedikit:   a. identitas Pemberi Kerja TKA;   b. alasan penggu naan TKA;   c. jabatan atau kedudukan TKA dalam struktur  organisasi perusahaan;   d. jumlah TKA;   e. jangka waktu penggunaan TKA;   f. lokasi kerja TKA;   g. identitas Tenaga Kerja Pendamping TKA; dan   h. rencana penyerapan tenaga kerja Indonesia setiap  tahun.   (3) Permohonan Pengesahan RPTKA sebagaimana  dimaksud pada ayat (2) disampaikan oleh Pemberi  Kerja TKA dengan melampirkan dokumen paling  sedikit:   a. surat permohonan;   b. nomor induk berusaha dan/atau izin usaha  Pemberi Kerja TKA;   2021, No.44 -8-  c. akta dan keputusan pengesahan pendirian  dan/atau perubah an dari instansi yang  berwenang;   d. bukti wajib lapor ketenagakerjaan di perusahaan;   e. rancangan perjanjian kerja atau perjanjian lain;   f. bagan struktur organisasi perusahaan;   g. surat pernyataan untuk penunjukan Tenaga Kerja  Pendamping TKA;   h. surat pernyataan untu k melaksanakan  pendidikan dan pelatihan kerja bagi tenaga kerja  Indonesia sesuai dengan kualifikasi jabatan yang  diduduki oleh TKA; dan   i. surat pernyataan untuk memfasilitasi pendidikan  dan pelatihan bahasa Indonesia kepada TKA.    (4) Dalam hal Pemberi Kerja TKA telah siap  menyampaikan data calon TKA yang akan  dipekerjakan maka penyampaian data calon TKA dapat  dilakukan sekaligus pada saat permohonan  Pengesahan RPTKA."
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 13,(1) Menteri atau pejabat yang ditunjuk melakukan  penilaian kelayakan permohonan Pengesahan RPTKA  yang diajukan oleh Pemberi Kerja TKA sejak  dinyatakan lengkap dan benar .  (2) Menteri atau pejabat yang ditunjuk sebagaimana  dimaksud pada ayat (1) menerbitkan hasil penilaian  kelayakan Pengesahan RPTKA paling lama 2 (dua) hari  kerja setelah Pemberi Kerja  TKA dinilai layak  berdasarkan penilaian kelayakan.
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 14,"(1) Berdasarkan hasil penilaian kelayakan Pengesahan   RPTKA sebagaimana dimaksud dalam Pasal 13 ayat  (2), Pemberi Kerja TKA menyampaikan data calon TKA  secara daring kepada Menteri atau pejaba t yang  ditunjuk.   2021, No.44 -9-  (2) Data calon  TKA sebagaimana dimaksud pada  ayat (1)  memuat paling sedikit :  a. identitas TKA;   b. jabatan TKA dan jangka waktu bekerja TKA;   c. lokasi kerja TKA; dan   d. penetapan  kode dan lokasi domisili TKA.   (3) Pemberi  Kerja TKA dalam menyampaik an data calon  TKA sebagaimana dimaksud pada ayat ( 2) dengan  melampirkan dokumen paling sedikit:   a. ijazah pendidikan;    b. sertifikat kompetensi atau pengalaman kerja;   c. perjanjian kerja atau perjanjian lain;   d. surat keterangan penunjukan Tenaga Kerja  Pendamping TKA ;  e. surat pernyataan sebagai penjamin TKA; dan   f. rekening koran/tabungan TKA atau Pemberi Kerja  TKA.  (4) Data calon TKA dan  dokumen  dilakukan verifikasi oleh  Menteri atau pejabat yang ditunjuk paling lama 2 (dua)  hari kerja.   (5) Dalam hal data calon TKA dan dokumen sebagaimana  dimaksud pada ayat (4) dinyatakan lengkap dan benar  serta Pemberi Kerja TKA telah melakukan pembayaran  DKPTKA, Menteri atau pejabat yang ditunjuk  menerbitkan Pengesahan RPTKA.   (6) Pengesahan  RPTKA digunakan sebagai rekomendasi  untuk mendapatkan  visa dan izin tinggal dalam  rangka bekerja bagi TKA.   (7) Menteri atau pejabat yang ditunjuk sebagaimana  dimaksud pada ayat (5) menyampaikan data calon TKA  yang akan dipekerjakan secara daring kepada menteri  yang menyelenggarakan urusan pemerintahan di  bidang hukum  dan hak asasi manusia atau pejabat  yang ditunjuk sebagai rekomendasi untuk  mendapatkan visa dan izin tinggal dalam rangka  bekerja.     2021, No.44 -10-"
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 15,"(1) Permohonan Pengesahan RPTKA yang diajukan oleh  instansi  Pemerintah, perwakilan negara asing , dan  badan internasion al dikecualikan dari penilaian  kelayakan Pengesahan RPTKA  sebagaimana dimaksud  dalam Pasal 13 .   (2) Permohonan Pengesahan RPTKA sebagaimana  dimaksud pada ayat (1) disampaikan kepada Menteri  atau pejabat yang ditunjuk dengan memuat data calon  TKA paling sedikit :  a. identitas TKA;   b. jabatan TKA dan jangka waktu bekerja TKA;   c. lokasi kerja TKA; dan   d. penetapan  kode dan lokasi  domisili TKA .  (3) Permohonan Pengesahan RPTKA sebagaimana  dimaksud pada ayat ( 2) disampaikan oleh Pemberi  Kerja TKA dengan melampirkan dokumen paling  sedikit:  a. surat permohonan dan alasan penggunaan TKA;   b. rancangan perjanjian kerja atau perjanjian lain;  dan/atau   c. surat persetujuan dari instansi yang berwenang .  (4) Data calon TKA dan dokumen dilakukan verifikasi oleh  Menteri atau pejabat yang ditunjuk paling lama 2 (dua)  hari kerja.   (5) Dalam hal data calon TKA dan dokumen sebagaimana  dimaksud pada ayat (4) dinyatakan lengkap dan benar,  Menteri atau pejabat yang ditunjuk menerbitkan  Pengesahan RPTKA.   (6) Pengesahan RPTKA digunakan  sebagai rekomendasi   untuk mendapatkan visa  dan izin tinggal dalam  rangka bekerja bagi TKA .   (7) Menteri atau pejabat yang ditunjuk sebagaimana  dimaksud pada ayat (5) menyampaikan data calon TKA  yang akan dipekerjakan secara daring  kepada menteri  yang menyelenggarakan  urusan pemerintahan di  bidang huku m dan hak asasi manusia atau pejabat  2021, No.44 -11-  yang ditunjuk sebagai rekomendasi  untuk  mendapatkan visa dan izin tinggal dalam rangka  bekerja."
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 16,Pengesahan RPTKA terdiri atas:   a. RPTKA untuk pekerjaan bersifat sementara;   b. RPTKA untuk pekerjaan lebih dari 6 (enam ) bulan;   c. RPTKA non -DKPTKA; dan   d. RPTKA KEK.
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 17,"(1) Pengesahan RPTKA untuk pekerjaan bersifat  sementara diberikan untuk jangka waktu paling lama  6 (enam) bulan dan tidak dapat diperpanjang.   (2) Pengesahan RPTKA untuk pekerjaan lebih dari  6  (enam) b ulan dan Pengesahan RPTKA  non-DKPTKA  diberikan untuk jangka waktu paling lama 2 (dua)  tahun dan dapat diperpanjang.   (3) Pengesahan RPTKA KEK diberikan untuk jangka  waktu paling lama 5 (lima) tahun dan dapat  diperpanjang.   (4) Pengesahan RPTKA KEK untuk jabatan direksi atau  komisaris, diberikan sekali dan berlaku selama TKA  yang bersangkutan menjadi direksi atau komisaris."
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 18,"Pengesahan RPTKA non -DKPTKA  diberikan kepada Pemberi  Kerja TKA untuk instansi Pemerintah, perwakilan negara  asing , badan internasional, lembaga sosial, lembaga  keagamaan, dan jabatan tertentu  di lembaga pendidikan.               2021, No.44 -12-"
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 19,"(1) Pengesahan  RPTKA sebagaimana dimaksud dalam  Pasal 16 tidak berlaku bagi:   a. direksi atau komisaris dengan kepemilikan saham  tertentu,  atau pemegang saham sesuai dengan  ketentuan peraturan perundang -undangan;     b. pegawai diplomatik dan konsuler pada kantor  perwakilan negara asing; atau   c. TKA yang dibutuhkan oleh Pemberi Kerja TKA pada  jenis kegiatan produksi yang terhenti karena  keadaan darur at, vokasi, perusahaan rintisan ( start - up) berbasis teknologi, kunjungan bisnis, dan  penelitian untuk jangka waktu tertentu.   (2) Untuk mempekerjakan TKA pada jenis kegiatan   perusahaan  rintisan ( start -up) berbasis teknologi dan  vokasi untuk jangka waktu tertent u sebagaimana  dimaksud pada ayat (1) huruf c , Pemberi Kerja TKA   harus  menyampaikan data calon TKA secara daring  kepada Menteri atau pejabat yang ditunjuk.   (3) Jabatan pada kegiatan perusahaan rintisan ( start -up)  berbasis teknologi dan vokasi sebagaimana dimaks ud  pada ayat (2) ditetapkan oleh Menteri setelah  mendapatkan masukan dari kementerian/lembaga  terkait.   (4) Menteri atau pejabat yang ditunjuk sebagaimana  dimaksud pada ayat (2) menyampaikan data calon TKA  secara daring kepada menteri yang menyelenggarakan  urusan pemerintahan di bidang hukum dan hak asasi  manusia atau pejabat yang ditunjuk sebagai  rekomendasi untuk mendapatkan visa dan izin tinggal  dalam rangka bekerja .   (5) Jangka waktu bagi TKA yang bekerja  pada jenis  kegiatan  perusahaan rintisan ( start -up) berbas is  teknologi dan vokasi  sebagaimana dimaksud pada ayat  (3) diberikan paling lama 3 (tiga) bulan.   2021, No.44 -13-  (6) Pemberi Kerja TKA yang akan mempekerjakan TKA  pada jenis kegiatan perusahaan rintisan ( start -up)  berbasis teknologi dan vokasi melebihi jangka waktu  sebagaiman a dimaksud pada ayat (5) wajib memiliki  Pengesahan RPTKA.   (7) Dalam hal jangka waktu sebagaimana dimaksud pada  ayat (5) telah berakhir dan Pemberi Kerja  TKA tetap  akan mempekerjakan TKA tersebut, Pemberi Kerja TKA  harus mengajukan permohonan Pengesahan RPTKA.   (8) Permohonan Pengesahan RPTKA sebagaimana  dimaksud pada ayat (7) diajukan paling lambat  2 (dua)  minggu sebelum berakhirnya jangka waktu jabatan  TKA sebagaimana dimaksud pada ayat (5)."
PP_No_34_Tahun_2021_cleaned.txt,BAB III: PENGESAHAN RENCANA PENGGUNAAN,PASAL 20,"TKA yang dibutuhkan oleh Pemberi Kerja TKA pa da jenis  kegiatan produksi yang terhenti  karena keadaan darurat,  kunjungan bisnis, dan penelitian sebagaimana dimaksud  dalam Pasal 19 ayat (1)  huruf c  dapat masuk dan tinggal di  wilayah Indonesia dengan menggunakan visa dan  izin  tinggal sesuai dengan keten tuan peraturan perundang - undangan di bidang keimigrasian.     Bagian Kedua   Perpanjangan dan Perubahan Pengesahan Rencana  Penggunaan Tenaga Kerja Asing"
