judul,BAB,Pasal,Content
PP_No_33_Tahun_2005_cleaned.txt,BAB IV: PROSEDUR PRIVATISASI PERSERO,PASAL 21,Hasil Privatisasi sebagaimana dimaks ud dalam Pasal 20 merupakan hasil  bersih setelah dikurangi dengan bi aya-biaya pelaksanaan Privatisasi.
PP_No_33_Tahun_2005_cleaned.txt,BAB IV: PROSEDUR PRIVATISASI PERSERO,PASAL 22,"(1)  Pengadministrasian dan pelaks anaan penyetoran hasil Privatisasi  sebagaimana dimaksud dalam Pa sal 20 diatur sebagai berikut:  a. Penjamin pelaksana emisi atau  penasihat keuangan membuka  rekening penampungan ( escrow account ) untuk menampung  hasil Privatisasi;   b. Setelah . . .     b. Setelah dikurangi biaya-biaya pela ksanaan Privatisasi, penjamin  pelaksana emisi atau penasi hat keuangan wajib segera  menyetorkan hasil bersih Privatis asi ke Kas Negara dan/atau kas  Persero yang bersangkutan;   c. Penjamin pelaksana emisi atau pe nasihat keuangan wajib segera  melaporkan penyetoran hasil Priv atisasi sebagaimana dimaksud  dalam huruf b kepada Menteri, Menteri Keuangan dan Direksi  Persero yang bersangkutan.   (2) Penghasilan lain yang diperoleh dari rekening penampungan hasil  Privatisasi diperhitungkan se bagai hasil Privatisasi.  (3) Verifikasi atas biaya dan hasil Privatisasi dilakukan oleh akuntan  publik yang ditunjuk oleh Menteri.       BAB V : LAIN-LAIN"
PP_No_33_Tahun_2005_cleaned.txt,BAB V: LAIN-LAIN,PASAL 23,"(1) Penjualan saham milik Negara Repu blik Indonesia pada perseroan  terbatas yang sahamnya kurang da ri 51% (lima puluh satu persen)  dimiliki oleh Negara Republik In donesia dilakukan sesuai dengan  ketentuan dalam anggaran dasar dan perjanjian pemegang saham  serta memperhatikan prinsip-prinsip yang diatur dalam Pasal 3 ayat  (2), Pasal 18, Pasal 19 ayat (2), Pasal 20 dan Pasal 21.   (2) Penjualan saham milik Badan Usaha Milik Nega ra pada perseroan  terbatas yang sahamnya paling sedikit 51% (lima puluh satu persen) dimiliki oleh Badan Usaha Milik Nega ra dilakukan sesuai  dengan ketentuan dalam anggaran dasar dan perjanjian pemegang  saham serta memperhatikan prinsip-prinsip yang diatur dalam ketentuan Pasal 3 ayat (2) , Pasal 18, Pasal 19 ayat (2), Pasal 20 dan Pasal 21 (3) Penjualan saham milik Negara Republik Indonesia pada Persero  terbuka dilakukan dengan berpedom an pada prinsip-prinsip dan  ketentuan di bidang pasar modal."
PP_No_33_Tahun_2005_cleaned.txt,BAB V: LAIN-LAIN,PASAL 24,"(1) Menteri dapat membatalkan atau  menunda penjuala n saham Persero  apabila situasi dan kondisi ekonom i, politik, keamanan, dan/atau  pasar modal tidak menguntungkan.   (2) Menteri melaporkan kepada Kom ite Privatisasi atas pembatalan  atau penundaan sebagaimana dimaksud pada ayat (1).        BAB VI : KETENTUAN PERALIHAN"
PP_No_33_Tahun_2005_cleaned.txt,BAB VI: KETENTUAN PERALIHAN,PASAL 25,"Dengan berlakunya Peratura n Pemerintah ini, maka:  1.  Rencana privatisasi yang belum disetujui oleh DPR-RI sebelum  berlakunya Peraturan Pemerintah ini, pelaksanaannya dilakukan  setelah memperoleh persetujuan DPR-RI dalam forum konsultasi  sebagaimana dimaksud dalam Pasal 12 ayat (7).  2.  Segala peraturan mengenai Priva tisasi masih tetap berlaku selama  tidak bertentangan atau belum diganti dengan yang baru  berdasarkan Peraturan Pemerintah ini.    BAB VII : KETENTUAN PENUTUP"
PP_No_33_Tahun_2005_cleaned.txt,BAB VII: KETENTUAN PENUTUP,PASAL 26,Peraturan Pemerintah ini mulai be rlaku pada tanggal diundangkan.
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 1,"Kedudukan, tugas, da n kewenangan Menteri Keuangan di bidang  pembinaan dan pengawasan BUMN sebagian dilimpahkan kepada Menteri  Negara Badan Usaha Milik Negara."
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 2,"Kedudukan, tugas dan kewenangan Menteri Keuangan yang dilimpahkan  kepada Menteri Negara Badan Usaha Milik Negara sebagaimana dimaksud  dalam Pasal 1 adalah yang mewakili Pemerintah selaku:   a.Pemegang Saham atau Rapat Umum Pemegang Saham (RUPS) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 12 Tahun 1998 tentang  Perusahaan Perseroan (PERSERO) sebagaimana te lah diubah dengan  Peraturan Pemerintah Nomor 45 Tahun 2001 dan Perseroan Terbatas  yang sebagian sahamnya dimiliki oleh Negara Republik Indonesia;   b.Wakil Pemerintah pada Perusahaan Umum (PERUM) sebagaimana diatur  dalam Peraturan Pemerintah Nomor 13 Tahun 1 998 tentang  Perusahaan Umum (PERUM); dan   c.Pembina Keuangan pada Perusahaan Jawatan (PERJAN) sebagaimana  diatur dalam Peraturan Pemerintah Nomor 6 Tahun 2000 tentang  Perusahaan Jawatan (PERJAN)."
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 3,"(1)Pelimpahan kedudukan, tugas dan kewenangan Men teri Keuangan  sebagaimana dimaksud dalam Pasal 1 tidak meliputi:    a.penatausahaan setiap penyertaan modal Negara berikut  perubahannya ke dalam PERSERO/Perseroan Terbatas dan  PERUM, serta kegiatan penatausahaan kekayaan Negara yang  dimanfaatkan oleh PERJAN;    b.pengusulan setiap penyertaan modal Negara ke dalam  PERSERO/Perseroan Terbatas dan PERUM yang dananya berasal  dari Anggaran Pendapatan dan Belanja Negara, serta  pemanfaatan kekayaan Negara dalam PERJAN;   c.pendirian PERSERO, PERUM, atau PERJAN dan perub ahan bentuk  hukum PERJAN.   (2)Dalam melaksanakan kedudukan, tugas dan kewenangan sebagaimana  dimaksud dalam Pasal 2, Menteri Negara Badan Usaha Milik Negara  wajib memperoleh persetujuan Menteri Keuangan terlebih dahulu,  dalam hal penggunaan sisa penerimaan PERJAN pada akhir tahun  anggaran."
PP_No_41-Tahun_2003_cleaned.txt,UNKNOWN,PASAL 4,"Dengan berlakunya Peraturan Pemerintah ini, maka Peraturan  Pemerintah Nomor 64 Tahun 2001 tentang Pengalihan Kedudukan, Tugas  dan Kewenangan Menteri Keuangan pada Perusahaan Perseroan (PERSERO),  Perusahaan Umum (PERUM) dan Perusahaan Jawatan (PERJAN) kepad a  Menteri Negara Badan Usaha Milik Negara, dinyatakan tidak berlaku."
